payment_id,status,reason,confidence,state,payment_evidence,settlement_evidence,bank_evidence,match_method,settlement_id,bank_transaction_id,expected_net_amount,recorded_settlement_amount,bank_credit_amount,human_review_required,human_review_reason
PAY100001,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500001,BANK900001,8349.55,8349.55,8349.55,False,
PAY100002,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500002,,11858.4,11858.4,,False,
PAY100003,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500003,BANK900003,8399.7,8399.7,8399.7,False,
PAY100004,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500004,BANK900004,8349.55,8349.55,8349.55,False,
PAY100005,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500005,BANK900005,98820.0,98820.0,98820.0,False,
PAY100006,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500006,BANK900006,4911.5,4911.5,4911.5,False,
PAY100007,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2370.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500007,BANK900007,2470.5,2370.5,2370.5,False,
PAY100008,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500008,BANK900008,8399.7,8399.7,8399.7,False,
PAY100009,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500009,BANK900009,2455.75,2455.75,2455.75,False,
PAY100010,EXCEPTION,"Settlement amount mismatch. Expected ₹11787.60, recorded ₹11687.60.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500010,BANK900010,11787.6,11687.6,11687.6,False,
PAY100011,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500011,,49115.0,49115.0,,False,
PAY100012,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY200012,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY100013,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500013,BANK900013,49115.0,49115.0,49115.0,False,
PAY100014,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500014,BANK900014,2470.5,2470.5,2470.5,False,
PAY100015,EXCEPTION,"Settlement amount mismatch. Expected ₹4941.00, recorded ₹3941.00.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500015,BANK900015,4941.0,3941.0,3941.0,False,
PAY100016,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500016,BANK900016,1185.84,1185.84,1185.84,False,
PAY100017,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100018,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500018,BANK900018,8349.55,8349.55,8349.55,False,
PAY100019,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500019,BANK900019,2455.75,2455.75,2455.75,False,
PAY100020,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500020,BANK900020,98230.0,98230.0,98230.0,False,
PAY100021,EXCEPTION,"Partial settlement detected. Expected ₹11858.40, received ₹7115.04.",0.98,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500021,BANK900021,11858.4,7115.04,7115.04,False,
PAY100022,EXCEPTION,"Settlement amount mismatch. Expected ₹491.15, recorded ₹341.15.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500022,BANK900022,491.15,341.15,341.15,False,
PAY100023,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500023,BANK900023,4911.5,4911.5,4911.5,False,
PAY100024,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500024,,98820.0,98820.0,,False,
PAY100025,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500025,BANK900025,74115.0,74115.0,74115.0,False,
PAY100026,EXCEPTION,Settlement occurred outside the configured settlement window.,0.97,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500026,BANK900026,4911.5,4911.5,4911.5,False,
PAY100027,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500027,BANK900027,74115.0,74115.0,74115.0,False,
PAY100028,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500028,BANK900028,2470.5,2470.5,2470.5,False,
PAY100029,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500029,BANK900029,49115.0,49115.0,49115.0,False,
PAY100030,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500030,BANK900030,11787.6,11787.6,11787.6,False,
PAY100031,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500031,BANK900031,49410.0,49410.0,49410.0,False,
PAY100032,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500032,BANK900032,73672.5,73672.5,73672.5,False,
PAY100033,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500033,BANK900033,74115.0,74115.0,74115.0,False,
