payment_id,merchant_id,customer_id,payment_date,payment_time,amount,currency,payment_method,status,reference_id
PAY100001,MER002,CUST2776,2026-08-20,14:22:46,8500,INR,CARD,SUCCESS,ORD-735656
PAY100002,MER004,CUST7311,2026-08-19,11:16:02,12000,INR,UPI,SUCCESS,ORD-645175
PAY100003,MER018,CUST4228,2026-08-12,14:04:42,8500,INR,NETBANKING,SUCCESS,ORD-429164
PAY100004,MER004,CUST5920,2026-08-17,12:42:26,8500,INR,CARD,SUCCESS,ORD-831076
PAY100005,MER018,CUST3085,2026-08-07,14:42:24,100000,INR,NETBANKING,SUCCESS,ORD-282480
PAY100006,MER019,CUST5930,2026-08-13,16:53:00,5000,INR,CARD,SUCCESS,ORD-320392
PAY100007,MER019,CUST6279,2026-08-15,15:28:43,2500,INR,NETBANKING,SUCCESS,ORD-596171
PAY100008,MER003,CUST5649,2026-08-17,18:40:39,8500,INR,UPI,SUCCESS,ORD-958179
PAY100009,MER010,CUST4680,2026-08-07,10:01:02,2500,INR,CARD,SUCCESS,ORD-740967
PAY100010,MER015,CUST7790,2026-08-21,17:12:45,12000,INR,CARD,SUCCESS,ORD-519066
PAY100011,MER001,CUST2746,2026-08-14,11:11:51,50000,INR,CARD,SUCCESS,ORD-152657
PAY100012,MER018,CUST5082,2026-08-04,15:08:51,25000,INR,NETBANKING,SUCCESS,ORD-656932
PAY200012,MER018,CUST5082,2026-08-04,15:08:51,25000,INR,NETBANKING,SUCCESS,ORD-656932
PAY100013,MER020,CUST6198,2026-08-15,17:52:46,50000,INR,CARD,SUCCESS,ORD-970914
PAY100014,MER015,CUST3607,2026-08-16,15:16:48,2500,INR,NETBANKING,SUCCESS,ORD-390782
PAY100015,MER016,CUST4919,2026-08-09,15:04:45,5000,INR,UPI,SUCCESS,ORD-384913
PAY100016,MER018,CUST2320,2026-08-05,10:14:24,1200,INR,NETBANKING,SUCCESS,ORD-324345
PAY100017,MER014,CUST7678,2026-08-11,16:29:26,500,INR,UPI,SUCCESS,ORD-973349
PAY100018,MER013,CUST1320,2026-08-19,14:30:00,8500,INR,CARD,SUCCESS,ORD-890075
PAY100019,MER014,CUST9818,2026-08-18,20:38:57,2500,INR,CARD,SUCCESS,ORD-330080
PAY100020,MER014,CUST8956,2026-08-01,14:21:42,100000,INR,CARD,SUCCESS,ORD-859359
PAY100021,MER015,CUST3091,2026-08-20,16:01:58,12000,INR,NETBANKING,SUCCESS,ORD-691807
PAY100022,MER003,CUST8022,2026-08-05,21:29:11,500,INR,CARD,SUCCESS,ORD-497519
