settlement_id,payment_id,merchant_id,settlement_date,gross_amount,processing_fee,tax,adjustment,net_amount,settlement_status,reference_id
SET500001,PAY100001,MER002,2026-08-22,8500,127.5,22.95,0.0,8349.55,SETTLED,ORD-735656
SET500002,PAY100002,MER004,2026-08-21,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-645175
SET500003,PAY100003,MER018,2026-08-14,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-429164
SET500004,PAY100004,MER004,2026-08-19,8500,127.5,22.95,0.0,8349.55,SETTLED,ORD-831076
SET500005,PAY100005,MER018,2026-08-09,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-282480
SET500006,PAY100006,MER019,2026-08-15,5000,75.0,13.5,0.0,4911.5,SETTLED,ORD-320392
SET500007,PAY100007,MER019,2026-08-17,2500,25.0,4.5,0.0,2370.5,SETTLED,ORD-596171
SET500008,PAY100008,MER003,2026-08-19,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-958179
SET500009,PAY100009,MER010,2026-08-09,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-740967
SET500010,PAY100010,MER015,2026-08-23,12000,180.0,32.4,0.0,11687.6,SETTLED,ORD-519066
SET500011,PAY100011,MER001,2026-08-16,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-152657
SET500012,PAY100012,MER018,2026-08-06,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-656932
SET500013,PAY100013,MER020,2026-08-17,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-970914
SET500014,PAY100014,MER015,2026-08-18,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-390782
SET500015,PAY100015,MER016,2026-08-11,5000,50.0,9.0,0.0,3941.0,SETTLED,ORD-384913
SET500016,PAY100016,MER018,2026-08-07,1200,12.0,2.16,0.0,1185.84,SETTLED,ORD-324345
SET500018,PAY100018,MER013,2026-08-21,8500,127.5,22.95,0.0,8349.55,SETTLED,ORD-890075
SET500019,PAY100019,MER014,2026-08-20,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-330080
SET500020,PAY100020,MER014,2026-08-03,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-859359
SET500021,PAY100021,MER015,2026-08-22,12000,120.0,21.6,0.0,7115.04,SETTLED,ORD-691807
SET500022,PAY100022,MER003,2026-08-07,500,7.5,1.35,0.0,341.15,SETTLED,ORD-497519
SET500023,PAY100023,MER015,2026-08-13,5000,75.0,13.5,0.0,4911.5,SETTLED,ORD-364525
SET500024,PAY100024,MER016,2026-08-20,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-919182
SET500025,PAY100025,MER002,2026-08-10,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-350132
SET500026,PAY100026,MER016,2026-08-24,5000,75.0,13.5,0.0,4911.5,SETTLED,ORD-275939
SET500027,PAY100027,MER010,2026-08-21,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-493537
SET500028,PAY100028,MER007,2026-08-21,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-831059
SET500029,PAY100029,MER020,2026-08-21,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-793655
SET500030,PAY100030,MER003,2026-08-23,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-210665
SET500031,PAY100031,MER012,2026-08-07,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-383201
SET500032,PAY100032,MER018,2026-08-17,75000,1125.0,202.5,0.0,73672.5,SETTLED,ORD-437960
SET500033,PAY100033,MER003,2026-08-17,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-800646
SET500034,PAY100034,MER011,2026-08-18,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-472060
SET500035,PAY100035,MER011,2026-08-22,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-641722
SET500036,PAY100036,MER003,2026-08-16,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-599219
SET500037,PAY100037,MER016,2026-08-03,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-355123
SET500038,PAY100038,MER019,2026-08-18,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-677124
SET500039,PAY100039,MER012,2026-08-11,750,7.5,1.35,0.0,741.15,SETTLED,ORD-301939
SET500040,PAY100040,MER004,2026-08-08,25000,375.0,67.5,0.0,24557.5,SETTLED,ORD-859782
SET500042,PAY100042,MER001,2026-08-07,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-831295
SET500043,PAY100043,MER016,2026-08-03,25000,375.0,67.5,0.0,24557.5,SETTLED,ORD-457256
SET500044,PAY100044,MER002,2026-08-18,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-177680
SET500045,PAY100045,MER002,2026-08-07,750,7.5,1.35,0.0,741.15,SETTLED,ORD-224205
SET500046,PAY100046,MER018,2026-08-22,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-498855
SET500047,PAY100047,MER015,2026-08-21,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-739244
SET500048,PAY100048,MER007,2026-08-11,2500,25.0,4.5,0.0,2420.5,SETTLED,ORD-678805
