bank_transaction_id,settlement_id,bank_date,credit_amount,bank_reference,bank_status
BANK900001,SET500001,2026-08-22,8349.55,NEFT-78642041,CREDITED
BANK900003,SET500003,2026-08-14,8399.7,NEFT-99038359,CREDITED
BANK900004,SET500004,2026-08-19,8349.55,NEFT-49682169,CREDITED
BANK900005,SET500005,2026-08-09,98820.0,NEFT-92613013,CREDITED
BANK900006,SET500006,2026-08-15,4911.5,NEFT-67698610,CREDITED
BANK900007,SET500007,2026-08-17,2370.5,NEFT-98429450,CREDITED
BANK900008,SET500008,2026-08-19,8399.7,NEFT-41523529,CREDITED
BANK900009,SET500009,2026-08-09,2455.75,NEFT-19774839,CREDITED
BANK900010,SET500010,2026-08-23,11687.6,NEFT-29806690,CREDITED
BANK900012,SET500012,2026-08-06,24705.0,NEFT-85017682,CREDITED
BANK900013,SET500013,2026-08-17,49115.0,NEFT-83534128,CREDITED
BANK900014,SET500014,2026-08-18,2470.5,NEFT-79967676,CREDITED
BANK900015,SET500015,2026-08-11,3941.0,NEFT-52910691,CREDITED
BANK900016,SET500016,2026-08-07,1185.84,NEFT-18620650,CREDITED
BANK900017,,2026-08-13,494.1,NEFT-66390708,CREDITED
BANK900018,SET500018,2026-08-21,8349.55,NEFT-62343121,CREDITED
BANK900019,SET500019,2026-08-20,2455.75,NEFT-46632757,CREDITED
BANK900020,SET500020,2026-08-03,98230.0,NEFT-32151928,CREDITED
BANK900021,SET500021,2026-08-22,7115.04,NEFT-13637575,CREDITED
BANK900022,SET500022,2026-08-07,341.15,NEFT-38408562,CREDITED
BANK900023,SET500023,2026-08-13,4911.5,NEFT-20993268,CREDITED
BANK900025,SET500025,2026-08-10,74115.0,NEFT-26941092,CREDITED
BANK900026,SET500026,2026-08-24,4911.5,NEFT-31980274,CREDITED
BANK900027,SET500027,2026-08-21,74115.0,NEFT-63238057,CREDITED
BANK900028,SET500028,2026-08-21,2470.5,NEFT-50477742,CREDITED
BANK900029,SET500029,2026-08-21,49115.0,NEFT-59737181,CREDITED
BANK900030,SET500030,2026-08-23,11787.6,NEFT-68186525,CREDITED
BANK900031,SET500031,2026-08-07,49410.0,NEFT-92666356,CREDITED
BANK900032,SET500032,2026-08-17,73672.5,NEFT-42949803,CREDITED
BANK900033,SET500033,2026-08-17,74115.0,NEFT-60867083,CREDITED
BANK900034,SET500034,2026-08-18,24705.0,NEFT-44675473,CREDITED
BANK900035,SET500035,2026-08-22,49410.0,NEFT-35643159,CREDITED
BANK900036,SET500036,2026-08-16,2470.5,NEFT-96691619,CREDITED
BANK900037,SET500037,2026-08-03,11858.4,NEFT-51098277,CREDITED
BANK900038,SET500038,2026-08-18,11858.4,NEFT-54398056,CREDITED
BANK900039,SET500039,2026-08-11,741.15,NEFT-52352128,CREDITED
BANK900040,SET500040,2026-08-08,24557.5,NEFT-89133014,CREDITED
BANK900041,,2026-08-06,2455.75,NEFT-50569669,CREDITED
BANK900042,SET500042,2026-08-07,49115.0,NEFT-26948946,CREDITED
BANK900043,SET500043,2026-08-03,24557.5,NEFT-34744872,CREDITED
BANK900044,SET500044,2026-08-18,11787.6,NEFT-87446468,CREDITED
BANK900046,SET500046,2026-08-22,2470.5,NEFT-70467027,CREDITED
BANK900047,SET500047,2026-08-21,74115.0,NEFT-23318904,CREDITED
BANK900048,SET500048,2026-08-11,2420.5,NEFT-31009452,CREDITED
BANK900049,SET500049,2026-08-17,4941.0,NEFT-48668783,CREDITED
BANK900050,SET500050,2026-08-05,4941.0,NEFT-98742485,CREDITED
BANK900051,SET500051,2026-08-06,1178.76,NEFT-29090631,CREDITED
BANK900052,SET500052,2026-08-08,73672.5,NEFT-26690465,CREDITED
