payment_id,scenario,expected_status,expected_reason,status,reason,confidence,state,payment_evidence,settlement_evidence,bank_evidence,match_method,settlement_id,bank_transaction_id,expected_net_amount,recorded_settlement_amount,bank_credit_amount,human_review_required,human_review_reason,expected_core_status,predicted_core_status,core_correct,expected_diagnosis,predicted_diagnosis,diagnosis_correct
PAY100001,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500001,BANK900001,8349.55,8349.55,8349.55,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100002,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500002,,11858.4,11858.4,,False,,EXCEPTION,EXCEPTION,True,MISSING_BANK_CREDIT,MISSING_BANK_CREDIT,True
PAY100003,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500003,BANK900003,8399.7,8399.7,8399.7,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100004,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500004,BANK900004,8349.55,8349.55,8349.55,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100005,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500005,BANK900005,98820.0,98820.0,98820.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100006,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500006,BANK900006,4911.5,4911.5,4911.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100007,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2370.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500007,BANK900007,2470.5,2370.5,2370.5,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
PAY100008,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500008,BANK900008,8399.7,8399.7,8399.7,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100009,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500009,BANK900009,2455.75,2455.75,2455.75,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100010,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹11787.60, recorded ₹11687.60.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500010,BANK900010,11787.6,11687.6,11687.6,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
