payment_id,scenario,expected_status,expected_reason
PAY100001,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100002,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100003,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100004,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100005,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100006,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100007,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100008,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100009,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100010,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100011,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100012,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100013,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100014,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100015,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100016,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100017,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100018,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100019,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100020,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100021,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100022,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100023,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100024,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100025,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100026,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100027,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100028,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100029,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100030,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100031,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100032,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100033,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100034,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100035,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100036,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100037,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100038,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100039,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100040,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100041,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100042,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100043,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100044,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100045,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100046,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100047,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100048,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100049,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100050,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100051,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100052,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100053,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100054,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100055,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100056,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100057,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100058,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100059,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100060,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100061,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100062,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100063,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100064,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100065,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100066,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100067,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100068,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100069,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100070,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100071,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100072,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100073,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100074,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100075,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100076,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
